path,tag,name,keyword,VR,private,value,count
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12051209130410130502141403101414,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08120904010605130814050710080508,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.00071307071102020311080215100104,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12021012060504060503030002061208,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11131406091213131205130612021414,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14130208070502001411050502150202,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11120508121303130402081303070008,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03090510061307040702090411010105,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.14031513011512070711151413071213,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.07121414121104070401050315140813,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11051001091403121310010813110103,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.12051512011202090502051206130907,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08110803080105090710150006100300,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13030903151515081500090603041412,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08101400121500101415120401040211,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.15090515141309140806011408041204,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03150400010605060115070904121304,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.15050814070214050107040604101305,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.00111415140915030904140513150113,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08111114040702130902010708100700,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10001500010311100907131007040004,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11151502000914000710090013020813,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.10141411130204150513090803110213,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.09060814101015050208090100150206,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.11060402050912131204000502001414,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.04051301070809101001111312060114,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.08050414010100010110100910070904,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.13011301091003020814061203020304,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.01010713081306120510130101121412,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.05150512091506110304120408070606,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02101009080308000015051512140806,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.02091106060004131215091000000909,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.15060100040008041103060904131005,1
"FileMeta/(0002,0003)","(0002,0003)",Media Storage SOP Instance UID,MediaStorageSOPInstanceUID,UI,False,1.2.643.5.1.13.13.12.2.77.8252.03040807040905131500140112021404,1
