path,tag,name,keyword,VR,private,files_present,presence_percent,total_occurrences,unique_values,uniqueness_ratio,top_values
"Dataset/(0008,0022)","(0008,0022)",Acquisition Date,AcquisitionDate,DA,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,0030)","(0008,0030)",Study Time,StudyTime,TM,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,0032)","(0008,0032)",Acquisition Time,AcquisitionTime,TM,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,0050)","(0008,0050)",Accession Number,AccessionNumber,SH,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,0060)","(0008,0060)",Modality,Modality,CS,False,499,100.0,499,1,0.002004008016032064,CR [499]
"Dataset/(0008,0070)","(0008,0070)",Manufacturer,Manufacturer,LO,False,499,100.0,499,1,0.002004008016032064,GE Healthcare [499]
"Dataset/(0008,0080)","(0008,0080)",Institution Name,InstitutionName,LO,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,0090)","(0008,0090)",Referring Physician's Name,ReferringPhysicianName,PN,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,1010)","(0008,1010)",Station Name,StationName,SH,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,1090)","(0008,1090)",Manufacturer's Model Name,ManufacturerModelName,LO,False,499,100.0,499,1,0.002004008016032064,Lunar Prodigy Advance [499]
"Dataset/(0010,0010)","(0010,0010)",Patient's Name,PatientName,PN,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0010,0020)","(0010,0020)",Patient ID,PatientID,LO,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0010,0030)","(0010,0030)",Patient's Birth Date,PatientBirthDate,DA,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0010,0040)","(0010,0040)",Patient's Sex,PatientSex,CS,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0010,1010)","(0010,1010)",Patient's Age,PatientAge,AS,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0010,2160)","(0010,2160)",Ethnic Group,EthnicGroup,SH,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0012,0062)","(0012,0062)",Patient Identity Removed,PatientIdentityRemoved,CS,False,499,100.0,499,1,0.002004008016032064,YES [499]
"Dataset/(0012,0063)","(0012,0063)",De-identification Method,DeidentificationMethod,LO,False,499,100.0,499,1,0.002004008016032064,De-identification is implemented according to DICOM PS3.15 2021b part E1.1 Table E.1-1 Basic Profile. [499]
"Dataset/(0018,0015)","(0018,0015)",Body Part Examined,BodyPartExamined,CS,False,499,100.0,499,1,0.002004008016032064, [499]
"Dataset/(0018,1000)","(0018,1000)",Device Serial Number,DeviceSerialNumber,LO,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0018,5101)","(0018,5101)",View Position,ViewPosition,CS,False,499,100.0,499,1,0.002004008016032064, [499]
"Dataset/(0020,0010)","(0020,0010)",Study ID,StudyID,SH,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0020,0060)","(0020,0060)",Laterality,Laterality,CS,False,499,100.0,499,1,0.002004008016032064, [499]
"Dataset/(0028,0002)","(0028,0002)",Samples per Pixel,SamplesPerPixel,US,False,499,100.0,499,1,0.002004008016032064,1 [499]
"Dataset/(0028,0004)","(0028,0004)",Photometric Interpretation,PhotometricInterpretation,CS,False,499,100.0,499,1,0.002004008016032064,MONOCHROME2 [499]
"Dataset/(0028,0100)","(0028,0100)",Bits Allocated,BitsAllocated,US,False,499,100.0,499,1,0.002004008016032064,8 [499]
"Dataset/(0028,0101)","(0028,0101)",Bits Stored,BitsStored,US,False,499,100.0,499,1,0.002004008016032064,8 [499]
"Dataset/(0028,0102)","(0028,0102)",High Bit,HighBit,US,False,499,100.0,499,1,0.002004008016032064,7 [499]
"Dataset/(0028,0103)","(0028,0103)",Pixel Representation,PixelRepresentation,US,False,499,100.0,499,1,0.002004008016032064,0 [499]
"Dataset/(0040,0244)","(0040,0244)",Performed Procedure Step Start Date,PerformedProcedureStepStartDate,DA,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0040,0245)","(0040,0245)",Performed Procedure Step Start Time,PerformedProcedureStepStartTime,TM,False,499,100.0,499,1,0.002004008016032064,Anonymized [499]
"Dataset/(0008,1050)","(0008,1050)",Performing Physician's Name,PerformingPhysicianName,PN,False,481,96.39278557114228,481,1,0.002079002079002079,Anonymized [481]
"Dataset/(0008,1070)","(0008,1070)",Operators' Name,OperatorsName,PN,False,481,96.39278557114228,481,1,0.002079002079002079,Anonymized [481]
"Dataset/(0008,0081)","(0008,0081)",Institution Address,InstitutionAddress,ST,False,475,95.19038076152304,475,1,0.002105263157894737,Anonymized [475]
"Dataset/(0018,1030)","(0018,1030)",Protocol Name,ProtocolName,LO,False,448,89.77955911823648,448,1,0.002232142857142857,Anonymized [448]
"Dataset/(0040,0254)","(0040,0254)",Performed Procedure Step Description,PerformedProcedureStepDescription,LO,False,448,89.77955911823648,448,1,0.002232142857142857,Anonymized [448]
"Dataset/(0040,030E)/ITEM/(0018,0060)","(0018,0060)",KVP,KVP,DS,False,448,89.77955911823648,1021,1,0.002232142857142857,76.0 [1021]
"Dataset/(0020,0020)","(0020,0020)",Patient Orientation,PatientOrientation,CS,False,379,75.95190380761522,379,1,0.002638522427440633,"['L', 'F'] [379]"
"Dataset/(0008,1040)","(0008,1040)",Institutional Department Name,InstitutionalDepartmentName,LO,False,161,32.26452905811623,161,1,0.006211180124223602,Anonymized [161]
"Dataset/(0020,4000)","(0020,4000)",Image Comments,ImageComments,LT,False,23,4.609218436873747,23,1,0.043478260869565216,Anonymized [23]
"Dataset/(0010,4000)","(0010,4000)",Patient Comments,PatientComments,LT,False,1,0.2004008016032064,1,1,1.0,Anonymized [1]
