task,oof_available,oof_n,oof_sensitivity,oof_specificity,oof_balanced_accuracy,best_parameters
target_1_spine_coverage,True,99,0.8333333333333334,0.40860215053763443,0.6209677419354839,"{""separator_min"": 5.0, ""separator_max"": 6.0, ""t12_low"": 0.2, ""t12_high"": 0.8, ""area_low"": 0.002, ""area_high"": 0.15, ""top_low"": 0.42, ""top_high"": 0.86, ""max_pair_iou"": 0.1}"
target_2_spine_alignment,True,99,0.5,0.7303370786516854,0.6151685393258427,"{""method"": ""boundary"", ""max_deviation_deg"": 4.0}"
target_3_spine_artifacts,True,99,0.7058823529411765,0.6219512195121951,0.6639167862266858,"{""extra_component_max"": 0.00014549266247379435, ""outside_bright_max"": 0.00015303983228511495, ""border_bright_max"": 0.0008444806173509377, ""orientation_max"": 0.3324838458110516}"
target_4_scoliosis,True,99,0.7857142857142857,0.5764705882352941,0.6810924369747899,"{""method"": ""boundary"", ""angle_threshold_deg"": 20.0}"
target_5_hip_position_rotation,True,148,0.6571428571428571,0.26548672566371684,0.461314791403287,"{""four_boundary_span_min"": 0.06, ""four_boundary_span_max"": 0.35, ""ischial_width_min"": 0.06, ""ischial_width_max"": 0.24, ""neck_thickening_min"": 1.3, ""rotation_prominence_max"": 0.25}"
target_6_hip_roi,True,149,0.0,0.8461538461538461,0.4230769230769231,"{""top_ratio"": 0.06, ""bottom_ratio"": 0.06, ""lateral_ratio"": 0.04}"
target_7_metal,True,332,1.0,0.9695121951219512,0.9847560975609756,null
